Season,Name,Team,playerid
1895,Amos Rusie,Giants,1011308
1884,Billy Taylor,- - -,1012856
1991,Jim Abbott,Angels,1000012
1956,Frank Lary,Tigers,1007364
1969,Jim Perry,Twins,1010213
1897,Clark Griffith,Colts,1005038
1879,Tommy Bond,Red Caps,1001158
1951,Warren Spahn,Braves,1012299
1989,Chris Bosio,Brewers,1001212
1974,Ken Holtzman,Athletics,1005989
1903,Joe McGinnity,Giants,1008527
1974,Vida Blue,Athletics,1001094
1958,Sam Jones,Cardinals,1006590
1982,Joaquin Andujar,Cardinals,1000266
2009,Josh Johnson,Marlins,4567
1905,Bob Ewing,Reds,1003880
1970,Pat Jarvis,Braves,1006363
1953,Harvey Haddix,Cardinals,1005184
1982,Jerry Reuss,Dodgers,1010853
1944,Max Lanier,Cardinals,1007325
1923,Jimmy Ring,Phillies,1010972
2010,CC Sabathia,Yankees,404
1979,Jerry Koosman,Twins,1007103
2006,John Smoltz,Braves,115
1875,Candy Cummings,Dark Blues,1002872
1999,Kevin Millwood,Braves,106
1940,Paul Derringer,Reds,1003224
2018,Corey Kluber,Indians,2429
1913,Pete Alexander,Phillies,1000128
1992,Juan Guzman,Blue Jays,1005162
2007,John Smoltz,Braves,115
2008,Brandon Webb,Diamondbacks,1692
1996,Shane Reynolds,Astros,574
1907,Ed Walsh,White Sox,1013570
1935,Wes Ferrell,Red Sox,1004010
1929,George Uhle,Tigers,1013266
1988,Bret Saberhagen,Royals,1011355
1930,Wes Ferrell,Indians,1004010
1975,Don Sutton,Dodgers,1012745
2005,Jake Peavy,Padres,1051
1878,Sam Weaver,Grays,1013705
1986,Bob Welch,Dodgers,1013750
1973,Mickey Lolich,Tigers,1007712
2014,Jordan Zimmermann,Nationals,4505
1997,Mike Mussina,Orioles,837
1921,Burleigh Grimes,Robins,1005061
1991,Tom Glavine,Braves,90
1963,Bill Monbouquette,Red Sox,1009048
2011,Jered Weaver,Angels,4235
1901,Christy Mathewson,Giants,1008235
1904,Kid Nichols,Cardinals,1009564
1983,Dave Righetti,Yankees,1010958
1996,Charles Nagy,Indians,397
1987,Frank Viola,Twins,1013435
2018,Aaron Nola,Phillies,16149
1971,Dave Roberts,Padres,1011031
1889,Ben Sanders,Quakers,1011413
1889,Jesse Duryea,Red Stockings,1003599
1974,Jerry Koosman,Mets,1007103
1911,Russ Ford,Highlanders,1004223
1963,Camilo Pascual,Twins,1010039
1957,Connie Johnson,Orioles,1006438
1932,Mel Harder,Indians,1005339
1987,Mike Scott,Astros,1011691
1985,Orel Hershiser,Dodgers,1005741
1962,Jim Kaat,Twins,1006660
1992,Mark Langston,Angels,1007323
2019,Zack Greinke,- - -,1943
1953,Carl Erskine,Dodgers,1003816
1934,Curt Davis,Phillies,1003043
1910,Jack Coombs,Athletics,1002583
1994,Bret Saberhagen,Mets,1011355
1985,Fernando Valenzuela,Dodgers,1013327
2011,Doug Fister,- - -,9425
1913,Babe Adams,Pirates,1000041
1963,Steve Barber,Orioles,1000530
2014,Jon Lester,- - -,4930
1922,Wilbur Cooper,Pirates,1002602
1974,Bill Bonham,Cubs,1001165
1972,Nolan Ryan,Angels,1011348
1873,George Zettlein,Whites,1014433
1950,Don Newcombe,Dodgers,1009529
2017,Carlos Carrasco,Indians,6632
2009,Jon Lester,Red Sox,4930
1969,Jerry Koosman,Mets,1007103
1963,Joe Nuxhall,Reds,1009665
1983,La Marr Hoyt,White Sox,1006114
2016,Justin Verlander,Tigers,8700
1946,Spud Chandler,Yankees,1002133
1886,Stump Wiedman,Cowboys,1013926
1923,Dazzy Vance,Robins,1013342
1974,Jim Rooker,Pirates,1011183
1941,Bucky Walters,Reds,1013583
2018,Luis Severino,Yankees,15890
2007,Aaron Harang,Reds,1451
1919,Pete Alexander,Cubs,1000128
1999,John Smoltz,Braves,115
1965,Sonny Siebert,Indians,1011951
2008,Ervin Santana,Angels,3200
1992,Mike Mussina,Orioles,837
1976,Nolan Ryan,Angels,1011348
1884,Adonis Terry,Atlantics,1012926
1934,Schoolboy Rowe,Tigers,1011259
2001,Freddy Garcia,Mariners,1077
1900,Noodles Hahn,Reds,1005205
1898,Clark Griffith,Orphans,1005038
1913,Christy Mathewson,Giants,1008235
1948,Joe Dobson,Red Sox,1003344
1892,Amos Rusie,Giants,1011308
1973,Burt Hooton,Cubs,1006005
1895,Clark Griffith,Colts,1005038
1944,Tex Hughson,Red Sox,1006169
2015,Zack Greinke,Dodgers,1943
1960,Ray Herbert,Athletics,1005684
2009,Ubaldo Jimenez,Rockies,3374
1890,Red Ehret,Colonels,1003708
1909,Frank Smith,White Sox,1012139
1949,Virgil Trucks,Tigers,1013203
1956,Johnny Antonelli,Giants,1000277
1991,Jimmy Key,Blue Jays,1006885
1978,Fergie Jenkins,Rangers,1006388
2009,Dan Haren,Diamondbacks,1757
1946,Dizzy Trout,Tigers,1013196
1988,David Cone,Mets,1680
1961,Camilo Pascual,Twins,1010039
1960,Frank Lary,Tigers,1007364
2016,Chris Sale,White Sox,10603
1906,Mordecai Brown,Cubs,1001547
1886,Tony Mullane,Red Stockings,1009291
1920,Eppa Rixey,Phillies,1011008
1996,Mike Mussina,Orioles,837
1989,Bert Blyleven,Angels,1001098
1932,Alvin Crowder,Senators,1002820
2007,Joe Blanton,Athletics,4849
1981,Steve Carlton,Phillies,1001964
2006,John Lackey,Angels,1507
2005,John Lackey,Angels,1507
1962,Turk Farrell,Colt .45's,1003950
1888,Bob Caruthers,Bridegrooms,1002026
1982,La Marr Hoyt,White Sox,1006114
1932,Dizzy Dean,Cardinals,1003106
1970,Ray Culp,Red Sox,1002869
1902,Deacon Phillippe,Pirates,1010287
1967,Gary Nolan,Reds,1009616
1966,Bob Veale,Pirates,1013391
1955,Bob Rush,Cubs,1011307
2014,Jake Arrieta,Cubs,4153
1872,Jim Britt,Atlantics,1001450
2011,Felix Hernandez,Mariners,4772
1974,Steve Carlton,Phillies,1001964
1944,Mort Cooper,Cardinals,1002598
1995,Kevin Appier,Royals,3
1996,Tom Glavine,Braves,90
1945,Nels Potter,Browns,1010471
2009,Adam Wainwright,Cardinals,2233
1950,Robin Roberts,Phillies,1011046
1911,Rube Marquard,Giants,1008125
1892,John Clarkson,- - -,1002293
1956,Tom Brewer,Red Sox,1001409
1915,Harry Coveleski,Tigers,1002681
1882,Jumbo McGinnis,Brown Stockings,1008528
1891,Billy Rhines,Reds,1010880
1921,Wilbur Cooper,Pirates,1002602
1969,Dave Boswell,Twins,1001222
1977,Gaylord Perry,Rangers,1010210
1904,Eddie Plank,Athletics,1010385
1988,Danny Jackson,Reds,1006295
2018,Carlos Carrasco,Indians,6632
1998,John Smoltz,Braves,115
1967,Catfish Hunter,Athletics,1006199
1882,Sam Weaver,Athletics,1013705
1991,Jack McDowell,White Sox,1008473
2008,Johan Santana,Mets,755
2000,Javier Vazquez,Expos,801
1921,Waite Hoyt,Yankees,1006115
1984,Fernando Valenzuela,Dodgers,1013327
2005,John Smoltz,Braves,115
1888,Pete Conway,Wolverines,1002557
1997,Denny Neagle,Braves,441
1891,John Clarkson,Beaneaters,1002293
1972,Bob Moose,Pirates,1009134
1990,Ed Whitson,Padres,1013911
1948,Johnny Sain,Braves,1011373
1998,Jamie Moyer,Mariners,1091
1973,Bill Lee,Red Sox,1007448
1962,Bill Monbouquette,Red Sox,1009048
1994,Randy Johnson,Mariners,60
1974,Jim Kaat,White Sox,1006660
1976,John Montefusco,Giants,1009065
1890,Adonis Terry,Bridegrooms,1012926
1993,Jimmy Key,Yankees,1006885
1995,Hideo Nomo,Dodgers,666
1992,David Cone,- - -,1680
1936,Paul Derringer,Reds,1003224
1909,Chief Bender,Athletics,1000827
1931,Ray Benge,Phillies,1000831
1916,Reb Russell,White Sox,1011321
1891,George Haddock,Reds,1005185
1962,Hank Aguirre,Tigers,1000087
1889,Tim Keefe,Giants,1006743
1946,Johnny Sain,Braves,1011373
1990,Nolan Ryan,Rangers,1011348
1963,Whitey Ford,Yankees,1004227
2006,Mike Mussina,Yankees,837
1916,Al Demaree,Phillies,1003187
1993,Jack McDowell,White Sox,1008473
1941,Bobo Newsom,Tigers,1009546
1971,Bob Gibson,Cardinals,1004662
1920,Babe Adams,Pirates,1000041
1980,Jon Matlack,Rangers,1008246
2009,Chris Carpenter,Cardinals,1292
1980,Len Barker,Indians,1000546
1997,Kevin Appier,Royals,3
1918,Hippo Vaughn,Cubs,1013384
1889,Henry Boyle,Hoosiers,1001288
1978,Bert Blyleven,Pirates,1001098
1977,Burt Hooton,Dodgers,1006005
1987,Bret Saberhagen,Royals,1011355
1892,Scott Stratton,Colonels,1012603
1998,Scott Erickson,Orioles,137
1985,Rick Reuschel,Pirates,1010852
1977,Bruce Sutter,Cubs,1012743
1891,Charlie Buffinton,Reds,1001634
1989,Bruce Hurst,Padres,1006222
1913,Cy Falkenberg,Naps,1003913
1926,Hal Carlson,Phillies,1001961
1934,Carl Hubbell,Giants,1006123
1998,David Cone,Yankees,1680
1923,Pete Alexander,Cubs,1000128
1967,Mike Cuellar,Astros,1002853
1975,Vida Blue,Athletics,1001094
2001,John Burkett,Braves,179
1924,Walter Johnson,Senators,1006511
1970,Mickey Lolich,Tigers,1007712
1938,Lefty Gomez,Yankees,1004821
1931,George Earnshaw,Athletics,1003633
1953,Vinegar Bend Mizell,Cardinals,1009015
2011,Cole Hamels,Phillies,4972
2011,C.J. Wilson,Rangers,3580
1993,Chuck Finley,Angels,384
2003,Andy Pettitte,Yankees,840
1986,Teddy Higuera,Brewers,1005799
1990,Greg Maddux,Cubs,104
1989,Roger Clemens,Red Sox,815
1953,Billy Pierce,White Sox,1010326
1896,Kid Nichols,Beaneaters,1009564
1929,Willis Hudlin,Indians,1006132
1885,Tim Keefe,Giants,1006743
2016,Rick Porcello,Red Sox,2717
2015,Chris Archer,Rays,6345
1997,Andy Benes,Cardinals,1144
1955,Billy Pierce,White Sox,1010326
1881,Jim Whitney,Red Caps,1013908
2001,Tim Hudson,Athletics,921
1976,Steve Carlton,Phillies,1001964
1977,Steve Carlton,Phillies,1001964
1996,Pedro Martinez,Expos,200
1885,Charlie Ferguson,Quakers,1003987
1955,Robin Roberts,Phillies,1011046
1975,Jim Kaat,White Sox,1006660
1992,Jose Rijo,Reds,349
2015,Gerrit Cole,Pirates,13125
1959,Sam Jones,Giants,1006590
1976,Gaylord Perry,Rangers,1010210
1887,Bob Caruthers,Browns,1002026
1939,Tommy Bridges,Tigers,1001421
1983,Dave Stieb,Blue Jays,1012532
1973,Rick Wise,Cardinals,1014155
1905,Jack Chesbro,Highlanders,1002179
1907,Ed Karger,Cardinals,1006699
1995,Mike Mussina,Orioles,837
1965,Bob Gibson,Cardinals,1004662
2013,Mat Latos,Reds,3815
1938,Paul Derringer,Reds,1003224
1998,Mike Mussina,Orioles,837
2007,Roy Halladay,Blue Jays,1303
1993,Steve Avery,Braves,1706
2006,Roy Halladay,Blue Jays,1303
1890,John Ewing,Giants,1003882
1961,Jack Kralick,Twins,1007135
1985,Bryn Smith,Expos,1012104
1969,Ken Holtzman,Cubs,1005989
1957,Don Drysdale,Dodgers,1003516
1979,Nolan Ryan,Angels,1011348
1915,Jeff Tesreau,Giants,1012936
2019,Lucas Giolito,White Sox,15474
1929,Pat Malone,Cubs,1008044
1941,Thornton Lee,White Sox,1007468
2010,Adam Wainwright,Cardinals,2233
1874,Candy Cummings,Whites,1002872
1977,Tommy John,Dodgers,1006515
1988,Dave Stewart,Athletics,1012519
1918,Stan Coveleski,Indians,1002682
1893,Frank Killen,Pirates,1006904
1960,Mike McCormick,Giants,1008420
1920,Burleigh Grimes,Robins,1005061
2011,Justin Masterson,Indians,2038
1988,Bob Ojeda,Mets,1009756
1945,Claude Passeau,Cubs,1010046
1974,Tom Seaver,Mets,1011708
1973,Jim Colborn,Brewers,1002409
1882,Larry Corcoran,White Stockings,1002618
1963,Curt Simmons,Cardinals,1011980
1965,Mickey Lolich,Tigers,1007712
1889,Bill Hutchison,White Stockings,1006235
2007,John Lackey,Angels,1507
1934,Van Mungo,Dodgers,1009321
1912,Bob Groom,Senators,1005081
2008,A.J. Burnett,Blue Jays,512
1930,Bump Hadley,Senators,1005186
1990,Bobby Witt,Rangers,1014170
1917,Stan Coveleski,Indians,1002682
1983,Floyd Bannister,White Sox,1000516
1989,Frank Viola,- - -,1013435
1928,George Pipgras,Yankees,1010363
1978,Nolan Ryan,Angels,1011348
1915,Willie Mitchell,Indians,1009011
2006,CC Sabathia,Indians,404
1990,David Cone,Mets,1680
1973,Ken Holtzman,Athletics,1005989
1881,Jim McCormick,Blues,1008416
1923,Hooks Dauss,Tigers,1003011
2007,Erik Bedard,Orioles,126
2012,Gio Gonzalez,Nationals,7448
2014,Chris Sale,White Sox,10603
2006,Chris Carpenter,Cardinals,1292
1984,Doyle Alexander,Blue Jays,1000122
1888,Toad Ramsey,Colonels,1010688
1947,Red Munger,Cardinals,1009320
1992,John Smiley,Twins,1012084
1956,Don Newcombe,Dodgers,1009529
1956,Whitey Ford,Yankees,1004227
1987,Jim Clancy,Blue Jays,1002255
1872,Dick McBride,Athletics,1008341
1997,Jeff Fassero,Mariners,279
1947,Johnny Sain,Braves,1011373
1894,Jouett Meekin,Giants,1008724
1969,Andy Messersmith,Angels,1008799
1983,Rick Rhoden,Pirates,1010887
1984,Bert Blyleven,Indians,1001098
1898,Jesse Tannehill,Pirates,1012822
1949,Ellis Kinder,Red Sox,1006922
1971,Don Wilson,Astros,1014071
1923,Lee Meadows,- - -,1008705
1892,Kid Gleason,Browns,1004770
1888,Tony Mullane,Red Stockings,1009291
1966,Gary Bell,Indians,1000806
2004,Brad Radke,Twins,748
1919,Lefty Williams,White Sox,1014015
1892,Jack Stivetts,Beaneaters,1012547
1886,Charlie Ferguson,Quakers,1003987
2019,Walker Buehler,Dodgers,19374
1915,Tom Hughes,Braves,1006164
1977,J.R. Richard,Astros,1010913
1954,Bob Rush,Cubs,1011307
1929,Charley Root,Cubs,1011188
2012,Cliff Lee,Phillies,1636
1987,Rick Reuschel,- - -,1010852
1915,Guy Morton,Indians,1009232
1973,Luis Tiant,Red Sox,1013054
1996,Chuck Finley,Angels,384
1958,Lew Burdette,Braves,1001662
1978,Lary Sorensen,Brewers,1012279
1902,Bill Dineen,Americans,1003317
1884,Larry McKeon,Hoosiers,1008596
2005,A.J. Burnett,Marlins,512
1897,Frank Killen,Pirates,1006904
1992,John Smoltz,Braves,115
1917,Eppa Rixey,Phillies,1011008
1972,Pat Dobson,Orioles,1003345
1894,Pink Hawley,Browns,1005517
1986,Mark Eichhorn,Blue Jays,1003712
2014,Adam Wainwright,Cardinals,2233
2007,Roy Oswalt,Astros,571
1963,Ray Herbert,White Sox,1005684
1947,Dutch Leonard,Phillies,1007533
1929,Firpo Marberry,Senators,1008100
1948,Larry Jansen,Giants,1006358
2002,Odalis Perez,Dodgers,668
1971,Gary Nolan,Reds,1009616
1902,Eddie Plank,Athletics,1010385
1969,Steve Carlton,Cardinals,1001964
1934,Mel Harder,Indians,1005339
1999,Mike Hampton,Astros,430
1972,Jon Matlack,Mets,1008246
2014,Jose Quintana,White Sox,11423
2008,John Danks,White Sox,6329
1888,Ben Sanders,Quakers,1011413
1899,Vic Willis,Beaneaters,1014042
1954,Curt Simmons,Phillies,1011980
1913,Rube Marquard,Giants,1008125
1994,Jack McDowell,White Sox,1008473
1936,Tommy Bridges,Tigers,1001421
1964,Bob Friend,Pirates,1004355
2016,Jose Quintana,White Sox,11423
1928,Larry Benton,Giants,1000855
1997,David Cone,Yankees,1680
1975,Mickey Lolich,Tigers,1007712
1879,Will White,Reds,1013897
1951,Sal Maglie,Giants,1007968
1884,Al Atkinson,- - -,1000349
1880,Pud Galvin,Bisons,1004469
2016,Corey Kluber,Indians,2429
1882,Harry Salisbury,Alleghenys,1011382
1961,Jim Archer,Athletics,1000291
1912,Pete Alexander,Phillies,1000128
1970,Dave McNally,Orioles,1008655
1976,Jerry Koosman,Mets,1007103
1977,Vida Blue,Athletics,1001094
1980,Scott McGregor,Orioles,1008546
1983,Steve Rogers,Expos,1011138
1964,Bob Bruce,Colt .45's,1001573
2015,Madison Bumgarner,Giants,5524
2016,Johnny Cueto,Giants,6893
1995,Shane Reynolds,Astros,574
1882,Fred Goldsmith,White Stockings,1004808
1993,Erik Hanson,Mariners,1005333
1962,Whitey Ford,Yankees,1004227
1961,Bob Friend,Pirates,1004355
2010,Zack Greinke,Royals,1943
1990,Ramon Martinez,Dodgers,1008193
1897,Joe Corbett,Orioles,1002610
1910,Chief Bender,Athletics,1000827
1992,Sid Fernandez,Mets,1004001
1904,Jack Harper,Reds,1005380
1958,Billy O'Dell,Orioles,1009724
1981,Fernando Valenzuela,Dodgers,1013327
1945,Nick Strincevich,Pirates,1012622
1890,Charley Radbourn,Reds,1010631
1997,Justin Thompson,Tigers,8217
1884,Larry Corcoran,White Stockings,1002618
1887,Charlie Ferguson,Quakers,1003987
2007,Tim Hudson,Braves,921
1985,Ron Guidry,Yankees,1005124
1916,Dick Rudolph,Braves,1011284
1977,Bert Blyleven,Rangers,1001098
2004,Pedro Martinez,Red Sox,200
1999,Aaron Sele,Rangers,34
1925,Eppa Rixey,Reds,1011008
2015,Jon Lester,Cubs,4930
1916,Hippo Vaughn,Cubs,1013384
1991,Nolan Ryan,Rangers,1011348
2015,Jacob deGrom,Mets,10954
1937,Cliff Melton,Giants,1008755
1966,Jim Maloney,Reds,1008039
2017,Zack Greinke,Diamondbacks,1943
1964,Jim Maloney,Reds,1008039
1906,Irv Young,Beaneaters,1014380
2010,Jon Lester,Red Sox,4930
1990,Dave Stewart,Athletics,1012519
1982,Floyd Bannister,Mariners,1000516
1997,Brad Radke,Twins,748
1906,Vic Willis,Pirates,1014042
1882,Will White,Red Stockings,1013897
1891,Frank Dwyer,- - -,1003607
1983,Jerry Reuss,Dodgers,1010853
1932,Clint Brown,Indians,1001504
1916,Harry Coveleski,Tigers,1002681
1920,Eddie Cicotte,White Sox,1002236
1935,Paul Dean,Cardinals,1003110
1986,Dwight Gooden,Mets,1004852
1887,Gus Weyhing,Athletics,1013820
1887,Charlie Buffinton,Quakers,1001634
2007,Scott Kazmir,Devil Rays,4897
1953,Alex Kellner,Athletics,1006785
1934,Paul Derringer,Reds,1003224
1976,Rick Reuschel,Cubs,1010852
1985,Walt Terrell,Tigers,1012924
1928,Eppa Rixey,Reds,1011008
1933,Bump Hadley,Browns,1005186
1927,Ted Lyons,White Sox,1007887
1982,Dave Stieb,Blue Jays,1012532
2011,James Shields,Rays,7059
1998,Tom Glavine,Braves,90
1895,Jack Taylor,Phillies,1012878
1908,Rube Vickers,Athletics,1013422
1962,Bob Friend,Pirates,1004355
1953,Curt Simmons,Phillies,1011980
1972,Fergie Jenkins,Cubs,1006388
2010,Colby Lewis,Rangers,1259
1903,Eddie Plank,Athletics,1010385
1890,John Clarkson,Beaneaters,1002293
1888,Gus Weyhing,Athletics,1013820
1949,Dutch Leonard,Cubs,1007533
1987,Dave Stewart,Athletics,1012519
1934,Lefty Gomez,Yankees,1004821
1886,Charlie Getzein,Wolverines,1004649
2001,Barry Zito,Athletics,944
1976,Steve Rogers,Expos,1011138
1948,Dutch Leonard,Phillies,1007533
2007,Kelvim Escobar,Angels,1298
1924,Urban Shocker,Browns,1011918
1970,Mike Cuellar,Orioles,1002853
1966,Claude Osteen,Dodgers,1009878
1958,Bob Friend,Pirates,1004355
1945,Dutch Leonard,Senators,1007533
2017,Jimmy Nelson,Brewers,10547
1889,Park Swartzel,Cowboys,1012768
1940,Dutch Leonard,Senators,1007533
1909,Howie Camnitz,Pirates,1001866
2004,Freddy Garcia,- - -,1077
1920,Jim Bagby,Indians,1000411
1889,Frank Foreman,Orioles,1004229
1894,Ted Breitenstein,Browns,1001383
1937,Dizzy Dean,Cardinals,1003106
2015,Carlos Carrasco,Indians,6632
2011,David Price,Rays,3184
1920,Red Faber,White Sox,1003889
1951,Mike Garcia,Indians,1004505
1912,Rube Marquard,Giants,1008125
1992,Jack McDowell,White Sox,1008473
2013,Justin Verlander,Tigers,8700
1882,Tony Mullane,Eclipse,1009291
2008,Ryan Dempster,Cubs,517
1989,Mark Langston,- - -,1007323
1934,Larry French,Pirates,1004338
1958,Frank Sullivan,Red Sox,1012691
1897,Amos Rusie,Giants,1011308
1959,Don Mossi,Tigers,1009250
1912,Nap Rucker,Dodgers,1011281
1950,Bob Rush,Cubs,1011307
2012,Zack Greinke,- - -,1943
1992,Kevin Appier,Royals,3
2019,Hyun-Jin Ryu,Dodgers,14444
1979,Bruce Sutter,Cubs,1012743
1964,Milt Pappas,Orioles,1009989
1915,Bert Gallia,Senators,1004460
2013,Chris Sale,White Sox,10603
1990,Chuck Finley,Angels,384
1888,Bill Sowders,Beaneaters,1012295
1936,Schoolboy Rowe,Tigers,1011259
1915,Red Faber,White Sox,1003889
1893,Ted Breitenstein,Browns,1001383
1998,Al Leiter,Mets,883
1899,Frank Kitson,Orioles,1006981
2008,Ben Sheets,Brewers,710
2007,Javier Vazquez,White Sox,801
1963,Jim O'Toole,Reds,1009897
1962,Ray Herbert,White Sox,1005684
1948,Bob Lemon,Indians,1007517
1945,Roger Wolff,Senators,1014193
1993,Tommy Greene,Phillies,1005013
1972,Rick Wise,Cardinals,1014155
1932,Watty Clark,Dodgers,1002315
1936,Cy Blanton,Pirates,1001055
1946,Harry Brecheen,Cardinals,1001375
1975,Doug Rau,Dodgers,1010717
1901,Bill Donovan,Superbas,1003393
1927,Lee Meadows,Pirates,1008705
1954,Johnny Antonelli,Giants,1000277
2019,Patrick Corbin,Nationals,9323
2008,Javier Vazquez,White Sox,801
1992,Doug Drabek,Pirates,1003473
1934,Lon Warneke,Cubs,1013637
2005,Brandon Webb,Diamondbacks,1692
1963,Dean Chance,Angels,1002130
2002,A.J. Burnett,Marlins,512
2000,Al Leiter,Mets,883
1892,Ad Gumbert,Colts,1005139
2018,Blake Snell,Rays,13543
1910,Nap Rucker,Superbas,1011281
1981,Bill Gullickson,Expos,1005136
2008,Aaron Cook,Rockies,1571
1958,Frank Lary,Tigers,1007364
1992,Andy Benes,Padres,1144
1974,Wilbur Wood,White Sox,1014248
1926,Pete Donohue,Reds,1003390
1914,Bob Groom,Terriers,1005081
1938,Bobo Newsom,Browns,1009546
1975,Rick Reuschel,Cubs,1010852
1879,Jim McCormick,Blues,1008416
1933,Lefty Grove,Athletics,1005099
1951,Billy Pierce,White Sox,1010326
1921,Urban Shocker,Browns,1011918
2019,Jack Flaherty,Cardinals,17479
1902,Doc White,Phillies,1013864
2003,Bartolo Colon,White Sox,375
1929,Dolly Gray,Browns,1004969
1906,Ed Walsh,White Sox,1013570
1880,Will White,Reds,1013897
1991,Kevin Appier,Royals,3
1984,Storm Davis,Orioles,1003080
2006,Javier Vazquez,White Sox,801
1963,Al Downing,Yankees,1003450
1875,Bobby Mathews,Mutuals,1008234
1910,Howie Camnitz,Pirates,1001866
1974,Rick Reuschel,Cubs,1010852
1873,Dick McBride,Athletics,1008341
1955,Frank Sullivan,Red Sox,1012691
1923,Burleigh Grimes,Robins,1005061
1974,Don Sutton,Dodgers,1012745
1958,Whitey Ford,Yankees,1004227
1985,Mike Witt,Angels,1014174
2002,Tim Hudson,Athletics,921
1967,Bill Singer,Dodgers,1012007
2012,R.A. Dickey,Mets,1245
1935,Paul Derringer,Reds,1003224
2012,Yu Darvish,Rangers,13074
1996,Alex Fernandez,White Sox,1003993
2003,Carlos Zambrano,Cubs,305
1966,Steve Hargan,Indians,1005356
1888,Elton Chamberlain,- - -,1002122
1999,Jose Lima,Astros,475
1888,Nat Hudson,Browns,1006139
1978,Dennis Leonard,Royals,1007531
1885,Charlie Buffinton,Beaneaters,1001634
1906,Rube Waddell,Athletics,1013467
1998,Aaron Sele,Rangers,34
1930,Carl Hubbell,Giants,1006123
1913,Dick Rudolph,Braves,1011284
1988,Tim Leary,Dodgers,1007438
1912,George Suggs,Reds,1012673
1913,Lefty Tyler,Braves,1013252
1883,Sam Weaver,Eclipse,1013705
1891,Harry Staley,- - -,1012389
1975,Steve Busby,Royals,1001745
1896,Bill Hoffer,Orioles,1005899
1984,Alejandro Pena,Dodgers,1010140
1926,Charley Root,Cubs,1011188
2019,Zack Wheeler,Mets,10310
1971,Gaylord Perry,Giants,1010210
1984,Jerry Koosman,Phillies,1007103
1980,Tommy John,Yankees,1006515
1992,Jose Guzman,Rangers,1005160
2004,Carlos Zambrano,Cubs,305
2012,Chris Sale,White Sox,10603
1979,Jim Kern,Rangers,1006868
1923,Johnny Morrison,Pirates,1009217
1954,Early Wynn,Indians,1014309
1964,Jim Kaat,Twins,1006660
2016,Masahiro Tanaka,Yankees,15764
1905,Red Ames,Giants,1000210
2002,Matt Clement,Cubs,271
1973,Jon Matlack,Mets,1008246
1980,Rick Reuschel,Cubs,1010852
2003,Eric Gagne,Dodgers,650
2000,Glendon Rusch,Mets,707
1950,Howie Pollet,Cardinals,1010423
1907,Addie Joss,Naps,1006630
2013,Cole Hamels,Phillies,4972
1907,Eddie Plank,Athletics,1010385
1997,Scott Erickson,Orioles,137
1985,Jack Morris,Tigers,1009211
1933,Lon Warneke,Cubs,1013637
1966,Don Sutton,Dodgers,1012745
1882,Stump Wiedman,Wolverines,1013926
1914,Dutch Leonard,Red Sox,1007532
1963,Juan Pizarro,White Sox,1010382
1957,Willard Nixon,Red Sox,1009610
1911,Mordecai Brown,Cubs,1001547
1880,Mickey Welch,Trojans,1013757
1969,Dave McNally,Orioles,1008655
1951,Mel Parnell,Red Sox,1010017
2000,Tom Glavine,Braves,90
1971,Dick Drago,Royals,1003475
